brand,model,variant,year,fuel_type,transmission,owner_count,km_driven,mileage,engine_capacity,cylinders,seating_capacity,safety_rating,city,health_score,maintenance_cost,ex_showroom_price,selling_price
Hyundai,i20,Sport,2023,Diesel,Manual,2,35771,21.1,998,3,5,2,Delhi,78,Low,5.2,4.52
Audi,Q7,Performance,2012,Electric,Automatic,1,202615,405.6,0,0,5,5,Bangalore,92,High,28.35,24.65
Mahindra,XUV700,Crysta,2015,Petrol,Automatic,1,137001,22.6,2184,4,7,5,Ahmedabad,72,Medium,6.08,5.29
Hyundai,Alcazar,Crysta,2016,Diesel,Manual,1,134079,17.1,1497,3,7,4,Hyderabad,71,Low,2.69,2.34
Mahindra,Bolero,Legender,2022,CNG,Automatic,1,49616,24.4,998,3,5,5,Hyderabad,75,Medium,8.11,7.05
BMW,X1,Sport,2022,CNG,Automatic,1,56846,9.2,2998,6,7,4,Hyderabad,85,High,33.2,28.87
Mercedes-Benz,GLE,Sport,2022,CNG,Automatic,1,52372,12.4,2998,6,7,5,Kolkata,88,High,64.73,56.29
Honda,WR-V,Luxury Line,2019,Petrol,Manual,1,70979,22.1,1498,3,5,4,Ahmedabad,98,Medium,5.52,4.8
Audi,A4,ZXI,2022,CNG,Automatic,1,47549,11.6,1984,4,5,5,Pune,97,High,33.19,28.86
Audi,A4,Luxury Line,2025,CNG,Automatic,1,15244,13.6,1998,4,7,5,Delhi,88,High,42.03,36.55
Toyota,Fortuner,ZXI,2015,Petrol,Automatic,2,157407,23.8,2393,4,7,5,Bangalore,95,Medium,14.77,12.84
Mahindra,XUV300,Legender,2025,Electric,Manual,3,14938,21.8,0,0,5,5,Kolkata,88,Medium,10.88,9.46
Audi,Q5,VXI,2013,Petrol,Automatic,1,155071,12.3,2993,6,5,4,Mumbai,79,High,25.63,22.29
Maruti Suzuki,Breza,VXI,2013,CNG,Automatic,1,183642,23.2,1498,3,5,3,Kolkata,77,Low,1.48,1.29
Hyundai,Tucson,Sport,2018,Electric,Automatic,2,105155,15.5,0,0,5,2,Chennai,71,Low,3.6,3.13
Toyota,Innova,LXI,2020,Electric,Manual,1,79346,17.2,0,0,7,5,Ahmedabad,71,Medium,14.81,12.88
Audi,A4,Luxury Line,2013,Electric,Automatic,1,152892,522.9,0,0,5,4,Mumbai,89,High,17.73,15.42
Mercedes-Benz,GLA,ZXI,2018,Diesel,Automatic,1,119389,14.8,1998,4,7,4,Ahmedabad,97,High,30.46,26.49
Maruti Suzuki,Dzire,Performance,2013,Petrol,Manual,1,145908,23.5,1197,3,5,3,Kolkata,98,Low,1.83,1.59
Mahindra,XUV700,Legender,2022,CNG,Automatic,1,49202,27.8,2184,4,7,5,Delhi,65,Medium,10.74,9.34
Tesla,Model S,Luxury Line,2013,Electric,Automatic,1,141608,419.8,0,0,5,4,Hyderabad,88,Medium,43.01,37.4
Honda,Jazz,Luxury Line,2025,CNG,Manual,1,13900,27.0,998,3,5,4,Delhi,74,Medium,7.58,6.59
Mahindra,XUV300,LXI,2015,CNG,Automatic,1,139223,30.2,998,3,5,5,Pune,67,Medium,3.56,3.1
Tata,Harrier,Crysta,2022,Electric,Automatic,1,46227,16.0,0,0,5,5,Chennai,74,Medium,13.25,11.52
Honda,City,ZXI,2016,CNG,Manual,1,125523,28.0,1497,3,7,5,Bangalore,80,Medium,3.54,3.08
Honda,Jazz,Sport,2012,Electric,Manual,1,161008,22.1,0,0,5,4,Mumbai,95,Medium,3.38,2.94
Toyota,Camry,Crysta,2017,Diesel,Manual,1,111228,18.6,1497,3,5,5,Pune,87,Medium,16.54,14.38
Audi,Q3,Sport,2012,Diesel,Automatic,1,152495,12.6,2998,6,7,5,Delhi,89,High,14.31,12.44
Mahindra,Thar,Luxury Line,2023,Diesel,Automatic,1,35743,23.5,2184,4,7,5,Delhi,84,Medium,13.33,11.59
BMW,X1,Luxury Line,2018,Diesel,Automatic,1,103459,14.6,2993,6,7,5,Mumbai,84,High,27.4,23.83
Toyota,Camry,Performance,2024,CNG,Automatic,1,34441,28.1,1498,3,5,5,Pune,97,Medium,32.89,28.6
Hyundai,Creta,Legender,2022,Diesel,Manual,1,48848,17.2,1498,3,5,3,Hyderabad,89,Low,5.73,4.98
BMW,5 Series,Legender,2014,Electric,Automatic,1,117286,541.6,0,0,7,4,Hyderabad,72,High,32.58,28.33
Honda,Jazz,Luxury Line,2022,CNG,Automatic,1,61561,28.5,1498,3,7,5,Ahmedabad,93,Medium,6.98,6.07
Toyota,Glanza,ZXI,2024,Diesel,Automatic,1,31479,21.4,1197,3,7,5,Delhi,73,Medium,15.17,13.19
Toyota,Camry,LXI,2023,Petrol,Automatic,1,32258,19.9,1498,3,5,4,Kolkata,89,Medium,30.85,26.83
Tesla,Model Y,Sport,2019,Electric,Automatic,2,71099,540.7,0,0,5,5,Hyderabad,96,Medium,77.0,66.96
Mahindra,Bolero,Crysta,2019,CNG,Automatic,2,73030,29.6,1197,3,5,5,Mumbai,70,Medium,5.62,4.89
Honda,Jazz,VXI,2014,Electric,Automatic,1,124194,17.9,0,0,7,4,Kolkata,81,Medium,3.81,3.31
Mercedes-Benz,C-Class,ZXI,2023,CNG,Automatic,1,39107,13.7,1998,4,5,5,Hyderabad,66,High,36.12,31.41
Toyota,Innova,Luxury Line,2019,Diesel,Automatic,1,80799,21.9,2694,6,7,5,Delhi,75,Medium,15.26,13.27
Hyundai,Alcazar,Luxury Line,2012,Electric,Automatic,3,180203,16.8,0,0,7,3,Hyderabad,71,Low,1.84,1.6
Tesla,Model 3,VXI,2024,Electric,Automatic,1,24944,363.8,0,0,7,4,Kolkata,96,Medium,68.21,59.31
BMW,X1,Crysta,2022,Electric,Automatic,2,52570,543.1,0,0,7,5,Ahmedabad,94,High,39.47,34.32
Tesla,Model Y,LXI,2017,Electric,Automatic,1,104518,442.9,0,0,5,5,Kolkata,86,Medium,57.44,49.95
Mercedes-Benz,GLA,Sport,2014,CNG,Automatic,1,166403,14.3,2998,6,5,5,Hyderabad,70,High,14.82,12.89
BMW,X5,Performance,2020,Electric,Automatic,2,74608,368.6,0,0,5,5,Hyderabad,84,High,58.28,50.68
Mercedes-Benz,S-Class,VXI,2020,CNG,Automatic,2,78867,10.6,2998,6,5,4,Hyderabad,85,High,72.55,63.09
Audi,A6,ZXI,2015,CNG,Automatic,4,132425,14.0,2998,6,5,5,Pune,65,High,18.27,15.89
Mahindra,Thar,LXI,2012,Diesel,Automatic,1,203248,15.1,2184,4,7,5,Chennai,76,Medium,4.04,3.51
Mahindra,Bolero,Sport,2013,Electric,Manual,1,138520,21.2,0,0,5,4,Pune,70,Medium,3.53,3.07
Hyundai,Alcazar,Sport,2024,Diesel,Automatic,1,31751,19.0,1498,3,7,2,Mumbai,71,Low,6.92,6.02
Toyota,Glanza,LXI,2022,Diesel,Manual,1,40233,16.4,1498,3,7,5,Ahmedabad,83,Medium,11.9,10.35
Toyota,Glanza,Luxury Line,2023,Petrol,Manual,3,39386,22.1,1197,3,7,4,Hyderabad,74,Medium,10.3,8.96
Honda,City,VXI,2012,CNG,Automatic,1,159065,28.2,1498,3,7,4,Ahmedabad,93,Medium,2.64,2.3
Tesla,Model 3,ZXI,2018,Electric,Automatic,1,106011,542.4,0,0,5,5,Pune,67,Medium,30.62,26.63
Mercedes-Benz,S-Class,VXI,2022,Diesel,Automatic,1,54045,12.0,1998,4,7,5,Chennai,85,High,112.0,97.39
Honda,Amaze,LXI,2018,Electric,Manual,1,112186,17.8,0,0,7,3,Kolkata,97,Medium,5.43,4.72
Audi,Q5,Legender,2018,CNG,Automatic,1,81625,13.6,2993,6,7,5,Pune,93,High,39.81,34.62
Hyundai,i20,VXI,2022,Diesel,Automatic,1,58868,20.0,998,3,5,4,Delhi,94,Low,6.31,5.49
Honda,Jazz,ZXI,2023,CNG,Automatic,2,40507,30.8,1197,3,7,4,Kolkata,77,Medium,6.36,5.53
Hyundai,Verna,Performance,2024,CNG,Manual,1,27366,24.7,1498,3,5,3,Ahmedabad,87,Low,5.32,4.63
Audi,Q7,Crysta,2018,Diesel,Automatic,1,110112,10.4,1984,4,5,5,Ahmedabad,89,High,43.72,38.02
Honda,Jazz,VXI,2012,CNG,Manual,2,157705,26.0,1498,3,5,5,Kolkata,74,Medium,1.89,1.64
Mercedes-Benz,GLA,Sport,2017,CNG,Automatic,3,115619,12.8,1984,4,5,5,Hyderabad,83,High,19.57,17.02
Hyundai,Grand i10,Sport,2013,Diesel,Automatic,2,142968,15.4,998,3,7,2,Kolkata,74,Low,1.43,1.24
Audi,Q5,Legender,2021,Diesel,Automatic,1,55160,11.3,2993,6,7,5,Bangalore,79,High,63.05,54.83
Mahindra,Bolero,Sport,2016,CNG,Manual,1,103382,30.5,1497,3,7,5,Ahmedabad,84,Medium,4.09,3.56
BMW,X5,Luxury Line,2013,CNG,Automatic,4,156507,10.8,1984,4,7,4,Mumbai,96,High,21.67,18.84
Toyota,Corolla Altis,Legender,2024,Diesel,Automatic,1,24360,21.5,1197,3,5,5,Mumbai,84,Medium,17.89,15.56
Maruti Suzuki,Dzire,Luxury Line,2017,CNG,Automatic,2,96160,23.6,1197,3,7,3,Pune,75,Low,2.22,1.93
Mercedes-Benz,GLA,Crysta,2023,Electric,Automatic,1,35208,543.3,0,0,7,5,Chennai,70,High,47.08,40.94
Maruti Suzuki,Breza,Performance,2020,CNG,Automatic,1,68523,29.4,1497,3,5,3,Ahmedabad,66,Low,2.89,2.51
Tesla,Model 3,VXI,2022,Electric,Automatic,1,44674,359.1,0,0,5,5,Ahmedabad,72,Medium,47.38,41.2
Toyota,Corolla Altis,LXI,2014,CNG,Automatic,1,160628,28.5,1498,3,5,5,Kolkata,82,Medium,4.75,4.13
